title,start_date,start_time,end_date,end_time,all_day,description,category,featured
Commercial training (online),2021-02-03,,2021-02-03,,true,,Training,false
Waitangi Day (NZ),2021-02-06,,2021-02-06,,true,,Seasonal,false
Hobart Show,2021-02-08,,2021-02-08,,true,,Seasonal,false
SA/NT Council Meeting,2021-02-10,,2021-02-10,,true,,Minor,false
SA/NT Awards,2021-02-12,,2021-02-12,,true,,Major,true
Chinese New Year,2021-02-12,,2021-02-12,,true,,Seasonal,false
CEO Lunch (Glen Innes),2021-02-16,,2021-02-16,,true,,Minor,false
CEO Lunch (Gerringong),2021-02-18,,2021-02-18,,true,,Minor,false
Labour Day (WA),2021-03-01,,2021-03-01,,true,,Seasonal,false
Board Meeting (Gold Coast),2021-03-04,,2021-03-04,,true,,Major,false
CEO Lunch (Brisbane),2021-03-05,,2021-03-05,,true,,Minor,false
QLD Council Meeting,2021-03-05,,2021-03-05,,true,,Minor,false
QLD Awards,2021-03-06,,2021-03-06,,true,,Major,true
International Women's Day,2021-03-08,,2021-03-08,,true,,Seasonal,false
AFL/NRL Footy Tipping Starts,2021-03-08,,2021-03-08,,true,,Minor,false
Labour Day (VIC/TAS/SA),2021-03-08,,2021-03-08,,true,,Seasonal,false
CEO Lunch (Canberra),2021-03-09,,2021-03-09,,true,,Minor,false
Commercial training (online),2021-03-10,,2021-03-10,,true,,Training,false
CEO Lunch (Mudgee),2021-03-11,,2021-03-11,,true,,Minor,false
Mudgee Council Meeting,2021-03-11,,2021-03-11,,true,,Minor,false
NSW Awards,2021-03-13,,2021-03-13,,true,,Major,true
WA Council Meeting,2021-03-16,,2021-03-16,,true,,Minor,false
CEO Lunch (Busselton),2021-03-17,,2021-03-17,,true,,Minor,false
WA Awards,2021-03-19,,2021-03-19,,true,,Major,true
CEO Lunch (Traralgon),2021-03-23,,2021-03-23,,true,,Minor,false
VIC/TAS Council Meeting,2021-03-25,,2021-03-25,,true,,Minor,false
CEO Lunch (Echuca),2021-03-25,,2021-03-25,,true,,Minor,false
VIC/TAS Awards,2021-03-27,,2021-03-27,,true,,Major,true
