title,start_date,start_time,end_date,end_time,all_day,venue,city,state,description,category,tags,featured
Chinese New Year,2021-02-12,,2021-02-12,,true,,,,,seasonal,,false
Valentine's Day,2021-02-14,,2021-02-14,,true,,,,,seasonal,,false
Labour Day (WA),2021-03-01,,2021-03-01,,true,,,,,seasonal,,false
Labour Day(VIC),2021-03-08,,2021-03-08,,true,,,,,seasonal,,false
St Patrick's Day,2021-03-17,,2021-03-17,,true,,,,,seasonal,,false
Good Friday,2021-04-02,,2021-04-02,,true,,,,,seasonal,,false
Daylight Saving Time Ends,2021-04-04,,2021-04-04,,true,,,,,seasonal,,false
Easter Monday,2021-04-05,,2021-04-05,,true,,,,,seasonal,,false
ANZAC DAY,2021-04-25,,2021-04-25,,true,,,,,seasonal,,false
ANZAC Day Holiday,2021-04-26,,2021-04-26,,true,,,,,seasonal,,false
May Day (NT),2021-05-03,,2021-05-03,,true,,,,,seasonal,,false
Labour Day (QLD),2021-05-03,,2021-05-03,,true,,,,,seasonal,,false
Mother's Day,2021-05-09,,2021-05-09,,true,,,,,seasonal,,false
Queen's Birthday (NSW/VIC/SA/TAS/NT),2021-06-14,,2021-06-14,,true,,,,,seasonal,,false
Father's Day,2021-09-05,,2021-09-05,,true,,,,,seasonal,,false
AFL Grand Final Holiday (VIC),2021-09-24,,2021-09-24,,true,,,,,seasonal,,false
Queen's Birthday (WA),2021-09-27,,2021-09-27,,true,,,,,seasonal,,false
Daylight Saving Time Starts,2021-10-03,,2021-06-14,,true,,,,,seasonal,,false
Queen's Birthday (QLD),2021-10-04,,2021-10-04,,true,,,,,seasonal,,false
Labour Day (ACT/NSW/SA),2021-10-04,,2021-10-04,,true,,,,,seasonal,,false
Melbourne Cup Day,2021-11-02,,2021-11-02,,true,,,,,seasonal,,false
Rememberance Day,2021-11-11,,2021-11-11,,true,,,,,seasonal,,false
Christmas Eve,2021-12-24,,2021-12-24,,true,,,,,seasonal,,false
Christmas Day,2021-12-25,,2021-12-25,,true,,,,,seasonal,,false
Boxing Day,2021-12-26,,2021-12-26,,true,,,,,seasonal,,false
New Year's Eve,2021-12-31,,2021-12-31,,true,,,,,seasonal,,false
Minor Event,2021-02-16,10:30:00,2021-02-16,16:00:00,false,Venue,City,STATE,"<p>
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque pellentesque, turpis ut ultricies consequat, nibh diam sodales justo, ac pulvinar lectus urna nec lacus. In hac habitasse platea dictumst. Maecenas sed risus libero. Nam facilisis risus aliquet magna volutpat, eu faucibus nunc porttitor. Nunc eget mattis orci, dapibus pulvinar neque. Aenean dictum dictum velit sit amet efficitur. Donec eget metus justo.
</p>
<p>
Sed in erat vitae velit finibus ornare. Etiam malesuada lobortis risus in porta. In dapibus convallis lacus. Aenean hendrerit risus a massa blandit, quis interdum libero egestas. Vestibulum ultricies id tellus a tincidunt. Sed velit tortor, interdum non neque id, ultrices molestie arcu. Morbi auctor tristique metus ut efficitur. Ut condimentum nibh ligula, sit amet accumsan elit vulputate non. Integer a enim dolor.
</p>",minor,,false
