Date,Event Name,Location,Venue,start_time,end_time,Presenter
2021-02-10,Leadership/Sales/PM Training,Brisbane,The Glen Hotel,08:30,15:00,Chris Helder
2021-02-24,PM/BDM Training,Brisbane,The Glen Hotel,08:30,12:30,Malcolm Riley
2021-03-17,Auction Training,Brisbane,The Glen Hotel,08:30,12:30,Justin Nickerson
2021-03-23,Property Management Training,Brisbane,The Glen Hotel,08:30,12:30,Denise Stanley
2021-03-24,Property Management Training,Gold Coast,Mercure Gold Coast,08:30,12:30,Denise Stanley
2021-03-25,Property Management Training,Sunshine Coast,Mantra Mooloolaba Beach,08:30,12:30,Denise Stanley
2021-03-30,Leadership Training,Brisbane,The Glen Hotel,10:00,15:00,Christine Guidotti
2021-04-13,Sales Training,Brisbane,The Glen Hotel,08:30,12:30,Chris Gilmour
2021-04-14,Sales Training,Gold Coast,Mercure Gold Coast,08:30,12:30,Chris Gilmour
2021-04-15,Sales Training,Sunshine Coast,Mantra Mooloolaba Beach,08:30,12:30,Chris Gilmour
2021-04-20,Property Management Training,Brisbane,The Glen Hotel,08:30,12:30,Fiona Blayney
2021-04-21,Property Management Training,Gold Coast,Mercure Gold Coast,08:30,12:30,Fiona Blayney
2021-04-22,Property Management Training,Sunshine Coast,Mantra Mooloolaba Beach,08:30,12:30,Fiona Blayney
2021-06-09,PM/BDM Training,Brisbane,The Glen Hotel,08:30,12:30,Vasili Hadzellis
2021-06-16,Digital Training,Brisbane,The Glen Hotel,08:30,12:30,Valentina Bourbone
2021-06-22,Sales/Principals Training,Brisbane,The Glen Hotel,10:00,15:00,Anna Samios
2021-07-07,Leadership Training,Brisbane,The Glen Hotel,10:00,15:00,Peter Camphin
2021-07-13,Sales Training,Brisbane,The Glen Hotel,08:30,12:30,Aaron Shiner
2021-07-14,Sales Training,Gold Coast,Novotel Surfers Paradise,08:30,12:30,Aaron Shiner
2021-07-15,Sales Training,Sunshine Coast,Mantra Mooloolaba Beach,08:30,12:30,Aaron Shiner
2021-07-20,Property Management Training,Brisbane,The Glen Hotel,08:30,12:30,Stacey Holt
2021-07-21,Property Management Training,Gold Coast,Mercure Gold Coast,08:30,12:30,Stacey Holt
2021-07-22,Property Management Training,Sunshine Coast,Mantra Mooloolaba Beach,08:30,12:30,Stacey Holt
2021-08-03,Agency Support Day,Brisbane,TBA,08:30,12:30,TBA
2021-09-08,PM/BDM Training,Brisbane,The Glen Hotel,08:30,12:30,Rebecca Clow 
2021-09-15,Sales Keynote,Brisbane,The Glen Hotel,10:00,15:00,Daniel Spencer
2021-10-12,Property Management Training,Brisbane,The Glen Hotel,09:30,13:30,Stacey Holt
2021-10-13,Property Management Training,Gold Coast,Mercure Gold Coast,09:30,13:30,Stacey Holt
2021-10-14,Property Management Training,Sunshine Coast,Mantra Mooloolaba Beach,09:30,13:30,Stacey Holt
